DRG;Partition;Bezeichnung;Bewertungsrelation bei Hauptabteilung;Bewertungsrelation bei Hauptabteilung und Beleghebamme;Mittlere Verweildauer;Untere Grenzverweildauer;Untere Grenzverweildauer: Bewertungsrelation pro Tag;Obere Grenzverweildauer;Obere Grenzverweildauer: Bewertungsrelation pro Tag;Externe Verlegung Abschlag pro Tag;Verlegungsfallpauschale;Ausnahme von Wiederaufnahme;Pflegeerlös Bewertungsrelation pro Tag
B20E;O;Kraniotomie oder große Wirbelsäulen-Operation ohne komplexe Prozedur, Alter > 2 Jahre, ohne komplexe Diagnose, ohne bestimmten Eingriff bei Trigeminusneuralgie, ohne bestimmte Prozedur, außer bei bösartiger Neubildung;1,579;;7,8;2;0,325;17;0,134;;x;;1,2001
B21A;O;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, mit Sondenimplantation;8,569;;12,1;3;0,297;20;0,098;0,091;;;0,9848
B21B;O;Implantation eines Neurostimulators zur Hirnstimulation, Mehrelektrodensystem, ohne Sondenimplantation;3,949;;3,5;1;0,155;8;0,089;0,069;;;1,0943
B36A;O;Intensivmedizinische Komplexbehandlung > 1764 / 1656 / 1656 Aufwandspunkte oder > 1176 / 1104 / 1104 Aufwandspunkte mit bestimmter OR-Prozedur oder Alter < 10 Jahre bei Krankheiten und Störungen des Nervensystems;10,598;;32,5;10;0,824;50;0,279;;x;x;3,4152
B36B;O;Intensivmedizinische Komplexbehandlung > 1176 / 1104 / 1104 Aufwandspunkte ohne bestimmte OR-Prozedur oder > 588 / 552 / 552 Punkte mit best. OR-Prozedur oder best. hochaufw. Implantate oder Alter > 9 Jahre bei Krankheiten und Störungen des Nervensystems;7,670;;21,6;6;0,906;37;0,293;;x;x;3,5455
B39A;O;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, mehr als 72 Stunden mit komplexem Eingriff oder mit komplizierender Konstellation oder intensivmedizinischer Komplexbehandlung > 392 / 368 / - Aufwandspunkte;4,442;;17,1;5;0,610;34;0,214;;x;;1,8139
B39B;O;Neurologische Komplexbehandlung des akuten Schlaganfalls mit bestimmter OR-Prozedur, bis 72 Stunden mit komplexem Eingriff oder mehr als 72 Stunden, ohne kompl. Eingriff, ohne kompliz. Konst., ohne intensivmed. Komplexbehandlung > 392 / 368 / - Punkte;2,632;;11,2;3;0,548;23;0,137;;x;;1,6166
B39C;O;Neurologische Komplexbehandlung des akuten Schlaganfalls mit best. OR-Prozedur, bis 72 Std., ohne kompl. Eing., ohne kompliz. Konst., ohne intensivmed. Komplexbeh. > 392 / 368 / - P. oder and. neurolog. Komplexbeh. des akuten Schlaganf., mehr als 72 Std.;2,122;;9,1;2;0,555;19;0,128;;x;;1,2928
B42A;A;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder fachübergreifende u. andere Frührehabilitation mit neurologischer Komplexbehandlung des akuten Schlaganfalls;3,101;;23,6;;;35;0,091;0,125;;;1,4104
B42B;A;Frührehabilitation bei Krankheiten und Störungen des Nervensystems bis 27 Tage ohne neurologische Komplexbehandlung des akuten Schlaganfalls;2,438;;20,8;;;30;0,080;0,110;;;1,2869
B44A;A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit neurologischer Komplexbehandlung oder anderer neurologischer Komplexbehandlung des akuten Schlaganfalls bei schwerer motorischer Funktionseinschränkung;2,289;;23,9;;;35;0,066;0,090;;;1,0515
B44B;A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems mit anderer neurologischer Komplexbehandlung des akuten Schlaganfalls oder schwerer motorischer Funktionseinschränkung;1,523;;20,1;;;30;0,052;0,071;;;0,9052
B44C;A;Geriatrische frührehabilitative Komplexbehandlung bei Krankheiten und Störungen des Nervensystems ohne Komplexbehandlung des akuten Schlaganfalls, ohne schwere motorische Funktionseinschränkung;1,312;;18,0;;;25;0,050;0,068;;;0,7020
B45Z;A;Intensivmedizinische Komplexbehandlung > 392 / 368 / 828 Aufwandspunkte bei Krankheiten und Störungen des Nervensystems;4,645;;21,1;6;0,647;38;0,214;0,205;;x;2,4426
B47A;A;Multimodale Schmerztherapie bei Krankheiten und Störungen des Nervensystems, mindestens 14 Behandlungstage;1,323;;16,0;;;20;0,059;0,077;;x;0,4606
B47B;A;Multimodale Schmerztherapie bei Krankheiten und Störungen des Nervensystems, weniger als 14 Behandlungstage;0,897;;10,1;;;16;0,059;0,080;;x;0,4898
B48Z;A;Frührehabilitation bei Multipler Sklerose und zerebellarer Ataxie, nicht akuter Para- / Tetraplegie oder anderen neurologischen Erkrankungen;1,561;;17,8;;;22;0,060;0,082;;;0,6150
B60A;M;Nicht akute Paraplegie / Tetraplegie, mehr als ein Belegungstag;0,923;;8,6;2;0,302;20;0,074;0,094;;;0,9275
B60B;M;Nicht akute Paraplegie / Tetraplegie, ein Belegungstag;0,204;;1,0;;;;;;;;1,1668
B61A;M;Bestimmte akute Erkrankungen und Verletzungen des Rückenmarks mit komplexem Eingriff, weniger als 14 Belegungstage, wegverlegt;3,594;;8,3;2;0,551;15;0,140;;x;;2,0842
B63Z;M;Demenz und andere chronische Störungen der Hirnfunktion;0,602;;6,0;1;0,377;14;0,069;0,085;;;0,8680
B66A;M;Neubildungen des Nervensystems mit äußerst schweren CC, mehr als ein Belegungstag, Alter < 10 Jahre oder mit komplizierender Konstellation;1,914;;11,8;3;0,450;24;0,153;0,141;;x;1,7944
B66B;M;Neubildungen des Nervensystems mit äußerst schweren CC, mehr als ein Belegungstag, Alter > 9 Jahre, ohne komplizierende Konstellation;1,367;;12,3;3;0,335;26;0,077;0,101;;x;1,2627
B66C;M;Neubildungen des Nervensystems, ein Belegungstag oder ohne äußerst schwere CC, Alter < 16 Jahre;0,627;;3,3;1;0,284;7;0,175;0,135;;x;1,9527
B66D;M;Neubildungen des Nervensystems, ein Belegungstag oder ohne äußerst schwere CC, Alter > 15 Jahre;0,631;;5,6;1;0,387;14;0,077;0,093;;x;0,9602
B67A;M;Morbus Parkinson mit äußerst schweren CC oder schwerster Beeinträchtigung;1,092;;11,8;3;0,268;23;0,064;0,084;;;1,1160
B67B;M;Morbus Parkinson ohne äußerst schwere CC, ohne schwerste Beeinträchtigung;0,764;;8,4;2;0,250;17;0,063;0,080;;;0,7867
B68A;M;Multiple Sklerose und zerebellare Ataxie mit äußerst schweren CC, mehr als ein Belegungstag;1,659;;16,6;5;0,271;35;0,069;0,092;;;1,2115
B68B;M;Multiple Sklerose und zerebellare Ataxie, ein Belegungstag oder ohne äußerst schwere CC, Alter < 16 Jahre;0,740;;5,0;1;0,516;12;0,144;0,120;;;1,2380
B68C;M;Multiple Sklerose und zerebellare Ataxie, ein Belegungstag oder ohne äußerst schwere CC, Alter > 15 Jahre, mit komplexer Diagnose;0,737;;5,8;1;0,532;14;0,088;0,107;;;0,6708
B68D;M;Multiple Sklerose und zerebellare Ataxie, ein Belegungstag oder ohne äußerst schwere CC, Alter > 15 Jahre, ohne komplexe Diagnose;0,570;;6,1;1;0,397;14;0,064;0,079;;;0,6682
B69A;M;Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse mit neurologischer Komplexbehandlung des akuten Schlaganfalls, mehr als 72 Stunden;0,954;;5,7;;;11;0,116;0,141;;;1,6006
B69B;M;Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse mit neurologischer Komplexbehandlung des akuten Schlaganfalls, bis 72 Stunden, mit äußerst schweren CC;1,208;;8,8;2;0,388;19;0,093;0,119;;;1,2335
B69C;M;Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse mit neurol. Komplexbehandlung des akuten Schlaganfalls, bis 72 Std., ohne äußerst schw. CC oder mit anderer neurol. Komplexbeh. des akuten Schlaganfalls oder mit äuß. schw. CC;0,751;;4,4;1;0,335;10;0,117;0,137;;;1,2590
B69D;M;Transitorische ischämische Attacke (TIA) und extrakranielle Gefäßverschlüsse ohne neurologische Komplexbehandlung des akuten Schlaganfalls, ohne andere neurologische Komplexbehandlung des akuten Schlaganfalls, ohne äußerst schwere CC;0,587;;4,3;1;0,323;9;0,094;0,109;;;0,8529
B70A;M;Apoplexie mit neurologischer Komplexbehandlung des akuten Schlaganfalls, mehr als 72 Stunden, mit komplizierender Diagnose;1,735;;11,0;3;0,428;22;0,109;;x;;1,5876
B70B;M;Apoplexie mit neurologischer Komplexbehandlung des akuten Schlaganfalls, mehr als 72 Stunden, ohne komplizierende Diagnose oder mit komplexem zerebrovaskulären Vasospasmus oder intensivmedizinischer Komplexbehandlung > 196 / 184 / - Aufwandspunkte;1,387;;8,3;2;0,456;18;0,115;;x;;1,5064
B70C;M;Apoplexie ohne komplexen zerebrovask. Vasospasmus, mit neurol. Komplexbeh. des akuten Schlaganfalls bis 72 Std., mit komplizierender Diagnose oder systemischer Thrombolyse oder mit anderer neurol. Komplexbeh. des akuten Schlaganfalls, mehr als 72 Std.;1,166;;7,3;1;0,580;15;0,111;0,139;;;1,2839
B70D;M;Apoplexie ohne komplexen zerebrovaskulären Vasospasmus, ohne komplizierende Diagnose oder systemische Thrombolyse, mit neurol. Komplexbeh. des akuten Schlaganfalls bis 72 Stunden oder mit anderer neurol. Komplexbeh. des akuten Schlaganfalls bis 72 Std.;0,936;;6,3;1;0,460;14;0,102;0,126;;;1,1701
B70E;M;Apoplexie ohne neurologische Komplexbehandlung des akuten Schlaganfalls, ohne andere neurol. Komplexbeh. des akuten Schlaganfalls, mehr als 72 Stunden, ohne komplexen zerebrovask. Vasospasmus, mit komplizierender Diagnose oder systemischer Thrombolyse;1,138;;8,5;2;0,374;18;0,092;0,118;;;1,2728
B70F;M;Apoplexie ohne neurologische Komplexbehandlung des akuten Schlaganfalls, ohne andere neurologische Komplexbehandlung des akuten Schlaganfalls, ohne komplexen zerebrovaskulären Vasospasmus, ohne komplizierende Diagnose, ohne systemische Thrombolyse;0,795;;7,4;;;16;0,073;0,092;;;0,8892
B70G;M;Apoplexie mit neurologischer Komplexbehandlung des akuten Schlaganfalls oder mit anderer neurologischer Komplexbehandlung des akuten Schlaganfalls, verstorben < 4 Tage nach Aufnahme;0,726;;2,6;;;;;;x;;2,4591
B70H;M;Apoplexie ohne neurologische Komplexbehandlung des akuten Schlaganfalls, ohne andere neurologische Komplexbehandlung des akuten Schlaganfalls, verstorben < 4 Tage nach Aufnahme;0,595;;2,4;;;;;;x;;2,4462
B70I;M;Apoplexie, ein Belegungstag;0,288;;1,0;;;;;;;;1,3516
B71A;M;Erkrankungen an Hirnnerven und peripheren Nerven mit komplexer Diagnose oder Komplexbehandlung der Hand, mehr als ein Belegungstag, mit äußerst schweren CC oder bei Para- / Tetraplegie mit äußerst schweren oder schweren CC;3,723;;22,0;6;0,524;36;0,117;0,160;;;1,4727
B71B;M;Erkrankungen an Hirnnerven und peripheren Nerven mit komplexer Diagnose, mit schweren CC oder bei Para- / Tetraplegie oder mit Komplexbehandlung der Hand oder ohne komplexe Diagnose, mit äußerst schweren oder schweren CC, bei Para- / Tetraplegie;1,461;;12,0;3;0,361;24;0,084;0,111;;;0,9242
B71C;M;Erkrankungen an Hirnnerven und peripheren Nerven ohne Komplexbehandlung der Hand oder mit kompl. Diagnose, ohne schw. CC oder außer bei Para- / Tetraplegie oder ohne komplexe Diagnose, mit äußerst schweren oder schweren CC, außer bei Para- / Tetraplegie;1,005;;9,8;2;0,325;21;0,069;0,090;;;0,7437
B71D;M;Erkrankungen an Hirnnerven und peripheren Nerven ohne komplexe Diagnose, ohne Komplexbehandlung der Hand, ohne äußerst schwere oder schwere CC;0,520;;4,4;1;0,298;10;0,081;0,095;;;0,6752
B72A;M;Infektion des Nervensystems außer Virusmeningitis, Alter < 16 Jahre;0,941;;6,9;1;0,725;16;0,132;0,115;;;1,5270
B72B;M;Infektion des Nervensystems außer Virusmeningitis, mehr als ein Belegungstag;1,081;;9,5;2;0,356;21;0,079;0,102;;;0,8558
B73Z;M;Virusmeningitis oder Infektion des Nervensystems, Alter > 15 Jahre oder ein Belegungstag;0,847;;7,6;2;0,279;17;0,077;0,097;;;0,7533
B74Z;M;Komplexbehandlung bei multiresistenten Erregern bei Krankheiten und Störungen des Nervensystems;3,113;;31,1;;;49;0,069;0,095;;;1,3125
B75Z;M;Fieberkrämpfe;0,430;;2,8;1;0,209;6;0,106;0,112;;;1,3075
B76B;M;Anfälle, ohne komplexe Diagnostik und Therapie, mehr als ein Belegungstag mit äußerst schweren CC oder Alter < 3 Jahre oder komplexer Diagnose oder EEG, Alter < 1 Jahr, mehr als ein Belegungstag oder mit bestimmter Diagnose, mit komplexer Diagnose;1,538;;11,5;3;0,377;25;0,091;0,120;;;1,5715
B76C;M;Anfälle, ohne komplexe Diagnostik und Therapie, mehr als ein Belegungstag, mit schweren CC, Alter > 2 Jahre, ohne komplexe Diagnose oder EEG, Alter < 1 Jahr, mehr als ein Belegungstag oder mit bestimmter Diagnose, ohne komplexe Diagnose;0,991;;8,0;2;0,324;18;0,121;0,108;;;1,2752
B76D;M;Anfälle, Alter < 6 Jahre oder komplizierende Diagnose oder EEG, mehr als ein Belegungstag;0,567;;4,0;1;0,325;9;0,096;0,110;;;1,2043
B76E;M;Anfälle, ein Belegungstag oder ohne komplexe Diagnostik und Therapie, ohne äußerst schwere oder schwere CC, ohne EEG, ohne bestimmte Diagnose, Alter > 5 Jahre, ohne komplexe Diagnose;0,509;;3,9;1;0,287;9;0,090;0,102;;;1,0080
B77Z;M;Kopfschmerzen;0,451;;3,3;1;0,222;7;0,095;0,104;;;0,7752
B78A;M;Intrakranielle Verletzung, Alter < 6 Jahre oder mit komplizierender Diagnose;0,866;;6,2;1;0,547;15;0,096;0,118;;;1,3514
B78B;M;Intrakranielle Verletzung, Alter > 5 Jahre, ohne komplizierende Diagnose;0,684;;5,4;1;0,420;13;0,088;0,105;;;1,1985
B79Z;M;Schädelfrakturen, Somnolenz, Sopor;0,528;;3,7;1;0,302;8;0,098;0,110;;;1,3849
B80Z;M;Andere Kopfverletzungen;0,295;;2,3;1;0,111;5;0,089;0,088;;;1,1061
B81A;M;Andere Erkrankungen des Nervensystems mit komplexer Diagnose oder bestimmter aufwendiger / hochaufwendiger Behandlung;0,969;;6,7;1;0,642;16;0,098;0,122;;;1,1709
B81B;M;Andere Erkrankungen des Nervensystems ohne komplexe Diagnose, ohne bestimmte aufwendige / hochaufwendige Behandlung;0,594;;5,1;1;0,349;12;0,080;0,095;;;0,7840
B82Z;M;Andere Erkrankungen an peripheren Nerven;0,350;;3,1;1;0,163;7;0,076;0,082;;;0,7000
B84Z;M;Vaskuläre Myelopathien;1,287;;9,4;2;0,421;19;0,094;0,121;;;1,0153
B85A;M;Degenerative Krankheiten des Nervensystems mit hochkomplexer Diagnose oder mit äußerst schweren oder schweren CC, mehr als ein Belegungstag, mit komplexer Diagnose oder bestimmter aufwendiger / hochaufwendiger Behandlung;1,726;;14,9;4;0,339;30;0,080;0,107;;;1,2447
B85B;M;Degenerative Krankheiten des Nervensystems mit äußerst schweren oder schweren CC, mehr als ein Belegungstag, ohne komplexe Diagnose, ohne hochkomplexe Diagnose, ohne bestimmte aufwendige / hochaufwendige Behandlung;1,042;;9,9;2;0,337;22;0,071;0,093;;;1,0699
B85C;M;Degenerative Krankheiten des Nervensystems ohne hochkomplexe Diagnose, ohne äußerst schwere oder schwere CC oder ein Belegungstag, mit komplexer Diagnose, zerebrale Lähmungen oder Delirium;0,638;;6,0;1;0,425;14;0,073;0,090;;;0,9444
B85D;M;Degenerative Krankheiten des Nervensystems ohne hochkomplexe Diagnose, ohne äußerst schwere oder schwere CC oder ein Belegungstag, ohne komplexe Diagnose;0,544;;4,4;1;0,334;11;0,084;0,098;;;0,8793
B86Z;M;Rückenmarkkompression, nicht näher bezeichnet und Krankheit des Rückenmarkes, nicht näher bezeichnet;0,714;;6,1;1;0,350;14;0,081;0,099;;;0,7369
MDC 02 Krankheiten und Störungen des Auges;;;;;;;;;;;;;
C01A;O;Komplexer Eingriff bei penetrierenden Augenverletzungen oder bestimmte Orbitotomie;1,442;;7,0;1;0,291;15;0,083;0,073;;;0,7673
C01B;O;Andere Eingriffe bei penetrierenden Augenverletzungen oder Amnionmembrantransplantation oder bestimmte Biopsie;0,812;;5,7;1;0,417;14;0,056;0,068;;;0,8031
C02Z;O;Enukleationen und Eingriffe an der Orbita oder Strahlentherapie bei bösartiger Neubildung;1,441;;6,2;1;0,333;14;0,156;0,092;;x;0,8321
C03A;O;Eingriffe Retina m. PPV, m. ECCE od. b. BNB Auge, m. best. Eingr. Retina od. Entf. Augapf. m. Impl. od. Endopht. od. Eingr. Orbita b. BNB Auge od. best. Eingr. Retina od. ECCE od. kompl. Eingr. od. BNB, Alter < 16 od. Enukl. u. Eingr. Orbita auß. b. BNB;1,027;;4,9;1;0,196;11;0,056;0,066;;;0,8088
C03B;O;Eingriffe an der Retina mit Pars-plana-Vitrektomie, mit extrakapsulärer Extraktion der Linse (ECCE) oder bestimmtem Eingriff an der Retina oder komplexem Eingriff am Auge oder bei bösartiger Neubildung des Auges, Alter > 15 Jahre;0,788;;3,5;1;0,176;7;0,056;0,062;;;0,7428
C03C;O;Eingriffe an der Retina mit Pars-plana-Vitrektomie, ohne extrakapsuläre Extraktion der Linse (ECCE), ohne bestimmten Eingriff an der Retina, ohne komplexen Eingriff am Auge, außer bei bösartiger Neubildung des Auges;0,676;;3,3;1;0,168;7;0,058;0,064;;;0,7800
C04A;O;Hornhauttransplantation mit extrakapsulärer Extraktion der Linse (ECCE) oder Amnionmembrantransplantation oder komplexem Eingriff oder Pars-plana-Vitrektomie oder Alter < 16 Jahre;1,551;;6,0;1;0,238;13;0,155;0,068;;x;0,7049
C04B;O;Hornhauttransplantation ohne extrakapsuläre Extraktion der Linse (ECCE), ohne Amnionmembrantransplantation, ohne komplexen Eingriff, ohne Pars-plana-Vitrektomie , Alter > 15 Jahre;1,438;;5,7;1;0,231;12;0,148;0,069;;x;0,7062
C05Z;O;Dakryozystorhinostomie;0,658;;3,0;1;0,228;6;0,056;0,061;;;0,7783
C06Z;O;Komplexe Eingriffe bei Glaukom;0,754;;4,2;1;0,140;10;0,053;0,061;;;0,6824
C07A;O;Andere Eingriffe bei Glaukom mit extrakapsulärer Extraktion der Linse (ECCE) oder komplexem Eingriff am Auge oder bestimmten Eingriffen bei Glaukom oder Alter < 6 Jahre;0,584;;2,6;1;0,148;6;0,059;0,061;;;0,8217
C07B;O;Andere Eingriffe bei Glaukom ohne extrakapsuläre Extraktion der Linse (ECCE), ohne komplexen Eingriff am Auge, ohne bestimmte Eingriffe bei Glaukom, Alter > 5 Jahre;0,401;;3,4;1;0,176;8;0,054;0,060;;;0,7354
C08A;O;Beidseitige extrakapsuläre Extraktion der Linse (ECCE) oder extrakapsuläre Extraktion der Linse oder bestimmte andere Eingriffe am Auge bei angeborener Fehlbildung der Linse;0,713;;3,3;1;0,297;7;0,061;0,067;;;0,8716
C08B;O;Extrakapsuläre Extraktion der Linse (ECCE) ohne angeborene Fehlbildung der Linse oder bestimmte Eingriffe am Auge;0,432;;2,5;1;0,096;5;0,057;0,058;;;0,8772
C10A;O;Eingriffe an den Augenmuskeln mit erhöhtem Aufwand;0,734;;2,6;1;0,188;5;0,066;0,067;;;1,2623
C10B;O;Eingriffe an den Augenmuskeln ohne erhöhten Aufwand, mit komplexem Eingriff oder Alter < 6 Jahre;0,617;;2,3;1;0,143;4;0,093;0,065;;;1,2708
C10C;O;Eingriffe an den Augenmuskeln ohne erhöhten Aufwand, ohne komplexen Eingriff, Alter > 5 Jahre;0,561;;2,3;1;0,110;4;0,066;0,066;;;1,2015
C12Z;O;Andere Rekonstruktionen der Augenlider;0,731;;3,5;1;0,337;8;0,060;0,066;;;0,7400
C13Z;O;Eingriffe an Tränendrüse und Tränenwegen;0,507;;2,9;1;0,178;6;0,061;0,065;;;0,8920
C14Z;O;Andere Eingriffe am Auge;0,452;;3,1;1;0,168;7;0,064;0,069;;;0,8594
C15Z;O;Andere Eingriffe an der Retina;0,683;;3,3;1;0,241;7;0,056;0,062;;;0,8014
C16Z;O;Aufwendige Eingriffe am Auge, Alter < 6 Jahre;0,778;;3,2;1;0,152;7;0,094;0,072;;;1,4426
C20A;O;Eingriffe an Kornea, Sklera und Konjunktiva, Eingriffe am Augenlid oder verschiedene Eingriffe an der Linse, Alter < 16 Jahre oder beidseitige Eingriffe an Augen und Tränenwegen oder bei bösartiger Neubildung am Auge;0,660;;2,9;1;0,248;7;0,102;0,076;;;1,0107
C20B;O;Eingriffe an Kornea, Sklera und Konjunktiva, Eingriffe am Augenlid oder verschiedene Eingriffe an der Linse, Alter > 15 Jahre, ohne beidseitige Eingriffe an Augen und Tränenwegen, außer bei bösartiger Neubildung am Auge;0,498;;2,8;1;0,126;6;0,057;0,060;;;0,8323
C60Z;M;Akute und schwere Augeninfektionen;0,510;;6,3;1;0,351;13;0,056;0,069;;;0,7485
C61Z;M;Neuro-ophthalmologische und vaskuläre Erkrankungen des Auges;0,512;;4,2;1;0,302;9;0,083;0,096;;;0,6754
C62Z;M;Hyphäma und konservativ behandelte Augenverletzungen;0,302;;3,0;1;0,139;7;0,065;0,070;;;0,8102
C63Z;M;Andere Erkrankungen des Auges oder Augenerkrankungen bei Diabetes mellitus;0,440;;3,9;1;0,240;9;0,076;0,086;;;0,7838
C64Z;M;Glaukom, Katarakt und Erkrankungen des Augenlides;0,208;;2,4;1;0,088;5;0,058;0,059;;;0,7927
C65Z;M;Bösartige Neubildungen des Auges;0,538;;3,7;1;0,247;9;0,097;0,109;;x;0,9310
MDC 03 Krankheiten und Störungen des Ohres, der Nase, des Mundes und des Halses;;;;;;;;;;;;;
D01B;O;Kochleaimplantation, unilateral;7,109;;4,5;1;0,280;8;0,125;0,102;;;0,7973
D02A;O;Komplexe Resektionen mit Rekonstruktionen an Kopf und Hals mit komplexem Eingriff oder mit Kombinationseingriff mit äußerst schweren CC;6,308;;20,1;6;0,360;36;0,225;0,120;;;1,3807
D02B;O;Komplexe Resektionen mit Rekonstruktionen an Kopf und Hals ohne komplexen Eingriff, ohne Kombinationseingriff mit äußerst schweren CC;4,756;;17,0;5;0,316;31;0,168;0,105;;;1,1385
D03A;O;Operative Korrektur einer Lippen-Kiefer-Gaumen-Spalte oder bestimmte plastische Rekonstruktion am Kopf mit Hartgaumenplastik oder best. Knochen-Tx/-transposition an Kiefer- und Gesichtsschädelknochen oder Alter < 2 Jahre;1,572;;5,3;1;0,282;10;0,106;0,089;;;1,5699
D03B;O;Operative Korrektur einer Lippen-Kiefer-Gaumen-Spalte oder bestimmte plastische Rekonstruktion am Kopf ohne Hartgaumenplastik oder best. Knochen-Tx/-transposition an Kiefer- und Gesichtsschädelknochen, Alter > 1 Jahr;1,312;;4,8;1;0,216;10;0,063;0,074;;;0,9539
D04A;O;Bignathe Osteotomie und komplexe Eingriffe am Kiefer oder Rekonstruktion der Trachea oder plastische Rekonstruktion der Ohrmuschel mit mikrovaskulärem Lappen, mit komplexem Eingriff;2,299;;5,9;1;0,316;10;0,220;0,092;;;0,9979
D04B;O;Bignathe Osteotomie und komplexe Eingriffe am Kiefer oder Rekonstruktion der Trachea oder plastische Rekonstruktion der Ohrmuschel mit mikrovaskulärem Lappen, ohne komplexen Eingriff;1,725;;5,9;1;0,309;12;0,213;0,090;;;0,9495
D05A;O;Komplexe Parotidektomie;1,606;;4,8;1;0,247;9;0,072;0,086;;;0,7794
D05B;O;Komplexe Eingriffe an den Speicheldrüsen außer komplexe Parotidektomien;1,057;;3,9;1;0,179;7;0,064;0,073;;;0,7226
D06A;O;Kompl. Eingriffe an Nasennebenhöhlen, Mastoid, Mittelohr, Speicheldrüsen, Rachen, Alter < 6 J. od. Alter > 15 J., mit komplexer Prozedur oder Diagnose, mit Resektion des Felsenbeins od. mit intrakran. Eingriff bei BNB;1,402;;6,0;1;0,299;13;0,069;0,085;;;1,1821
D06B;O;Andere Eingriffe an Nasennebenhöhlen, Mastoid, Mittelohr, Speicheldrüsen, Rachen, Alter > 5 J. u. Alter < 16 J. od. Alter > 15 J., mit kompl. Proz. oder Diag., ohne Resektion Felsenbein, ohne intrakran. Eingriff bei BNB;0,937;;4,2;1;0,304;9;0,065;0,075;;;0,8302
